"Type","Sao","Cung","Chi","Text"
"Phụ tinh","Thiên Giải","Mệnh","Tý","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Sửu","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Dần","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Mão","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Thìn","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Tỵ","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Ngọ","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Mùi","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Thân","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Dậu","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Tuất","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Mệnh","Hợi","Thiên Giải tọa thủ tại Mệnh"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Tý","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Sửu","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Dần","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Mão","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Thìn","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Tỵ","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Ngọ","Thiên Giải tọa thủ tại Phụ Mẫu"
"Phụ tinh","Thiên Giải","Phụ Mẫu","Mùi","Thiên Giải tọa thủ tại Phụ Mẫu"
